lng,lat
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
-71.10078733,42.34160883
