lng,lat
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.094562,42.335787
-71.0716,42.3528
-71.0724,42.3527
-71.0732,42.3526
-71.0741,42.3525
-71.0750,42.3523
-71.0758,42.3522
-71.0767,42.3521
-71.0776,42.3520
-71.0785,42.3519
-71.0793,42.3518
-71.0802,42.3517
-71.0811,42.3516
-71.0820,42.3515
-71.0829,42.3514
-71.0838,42.3513
-71.0847,42.3512
-71.0856,42.3511
-71.0865,42.3510
-71.0873,42.3509
-71.0882,42.3508
-71.0811,42.3516
-71.0811,42.3516
-71.0820,42.3515
-71.0820,42.3515
-71.0829,42.3514
-71.0829,42.3514
-71.0838,42.3513
-71.0838,42.3513
-71.0847,42.3512
-71.0847,42.3512
-71.0856,42.3511
-71.0856,42.3511
-71.0865,42.3510
-71.0865,42.3510
-71.0873,42.3509
-71.0873,42.3509
-71.0882,42.3508
-71.0882,42.3508
-71.0802,42.3517
-71.0802,42.3517
-71.0793,42.3518
-71.0793,42.3518
-71.0785,42.3519
-71.0785,42.3519
-71.0776,42.3520
-71.0776,42.3520
-71.0767,42.3521
-71.0767,42.3521
-71.0758,42.3522
-71.0758,42.3522
-71.0811,42.3516
-71.0812,42.3516
-71.0810,42.3516
-71.0813,42.3515
-71.0809,42.3516
-71.0814,42.3515
-71.0808,42.3517
-71.0815,42.3515
-71.0807,42.3517
-71.0816,42.3515
-71.0806,42.3517
-71.0817,42.3514
-71.0805,42.3518
-71.0818,42.3514
-71.0804,42.3518
-71.0819,42.3514
-71.0803,42.3518
-71.0820,42.3514
-71.0802,42.3519
-71.0821,42.3514
-71.0801,42.3519
-71.0822,42.3513
-71.0800,42.3519
-71.0823,42.3513
-71.0799,42.3520
-71.0824,42.3513
-71.0798,42.3520
-71.0825,42.3513
-71.0797,42.3520
-71.0826,42.3512
-71.0796,42.3521
-71.0827,42.3512
-71.0795,42.3521
-71.0828,42.3512
-71.0794,42.3521
-71.0829,42.3512
-71.0793,42.3522
-71.0830,42.3512
-71.0792,42.3522
-71.0831,42.3511
-71.0791,42.3522
-71.0832,42.3511
-71.0790,42.3523
-71.0833,42.3511
-71.0789,42.3523
-71.0834,42.3511
-71.0788,42.3523
-71.0835,42.3510
-71.0787,42.3524
-71.0836,42.3510
-71.0786,42.3524
-71.0837,42.3510
-71.0785,42.3524
-71.0838,42.3510
-71.0784,42.3525
-71.0839,42.3510
-71.0783,42.3525
-71.0840,42.3509
-71.0782,42.3525
-71.0841,42.3509
-71.0781,42.3526
-71.0842,42.3509
-71.0780,42.3526
-71.0843,42.3509
-71.0779,42.3526
-71.0844,42.3508
-71.0778,42.3527
-71.0845,42.3508
-71.0777,42.3527
-71.0846,42.3508
-71.0776,42.3527
-71.0847,42.3508
-71.0775,42.3528
-71.0848,42.3508
-71.0774,42.3528
-71.0849,42.3508
-71.0773,42.3528
-71.0850,42.3507
-71.0772,42.3528
-71.0851,42.3507
-71.0771,42.3529
-71.0852,42.3507
-71.0770,42.3529
-71.0853,42.3507
-71.0769,42.3529
-71.0854,42.3507
-71.0768,42.3530
-71.0855,42.3506
-71.0767,42.3530
-71.0856,42.3506
-71.0766,42.3530
-71.0857,42.3506
-71.0765,42.3531
-71.0858,42.3506
-71.0764,42.3531
-71.0859,42.3506
-71.0763,42.3531
-71.0860,42.3505
